Name,ASIN,EAN,jio,dmart
aashirvaad multigrain atta 5 kg,B071Y4M7Z3,284420,490675817,aashirvaad--multigrain--atta
daawat rozana super basmati rice 5 kg,B01LXMBENK,40075197,491019524,daawat-rozana-super-basmati-rice
sunfeast dark fantasy choco fill cookies 300 g,B01L7A0CU4,40077104,491319789,sunfeast-dark-fantasy-choco-fills-cookies-pcreambiscuitssfst44xx220218
Dabur Organic Honey 300 g,B088DWCBZW,None,None,None
Protinex Original Protein 750 g,B07GC7TDYL,40159871,None,None
kellogg s nuts delight muesli 750 g,B083QQXVF2,40189243,491409954,kelloggs-muesli-nuts-delight
raw pressery valencia orange juice 1 l bottle,B07W5VQZS3,40086192,491321729,None
Kwality Walls Vanilla Tub 700 ml,B08JTTGJHM,40163750,None,None
gowardhan pure cow ghee 1 l pouch,B08GKH3RJF,219074,490010244,gowardhan-pure-cow-ghee-pouch
Sunfeast Yipee Magic Masala Noodles 240gm,B01CHVA0TU,287006,None,None
Kissan Tomato Ketchup 950 gm,B07NQZJZQG,40029538,None,kissan-fresh-tomato-ketchup
Navchetan Tea 1 kg,B06XS1F7PG,None,None,wagh-bakari-navchetan-tea
Capuccino,B07P218VH6,247878,None,None
bournvita 750 g,B01NCV30G7,40019371,491187481,cadbury-bournvita-health-drink-refill
lux soft touch bar soap 150 g pack of 3,B00U1CA8D6,274795,490915877,lux-soft-touch-with-silk-essence-&-rose-water-soap
santoor sandal turmeric soap 125 g pack of 4,B006L7Q3OS,267924,490002255,santoor-sandal-&-turmeric-soap
Colgate Swarn Vedshakti 400gm,B0831X68DT,40186858,None,colgate-swarna-vedshakti-toothpaste-ptoothpasteclg3236xx30318
Britannia Good Day Cashew Cookies 100 g,B0154VQHXI,40001606,491161296,None
Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g,B00D23M0W8,None,490007701,britannia-nutrichoice-digestive-hi-fibre-biscuits-pdigestivebiscuitsbtn42xx220218
Parle-G Original Glucose Biscuits 800 g,B0118L9WXK,102102,490008739,parle-g-original-gluco-biscuits
"Parle Monaco Biscuits, Classic Regular, 400 g",B07THT2Q7,None,491439006,parle-monaco-classic-regular-biscuit
Parle Platina Hide & Seek Chocolate Chip Cookies 350 g,B08SWP47T2,None,491338173,parle-hide---seek-chocolate-chip-cookies-pcookiesprle20xx26718
"Haldirams Namkeen - Bhujia Sev, 1 kg Pouch",B00WWT4U9O,100022552,490009551,haldirams-bhujia-sev
"Aashirvaad Atta/Godihittu - Whole Wheat, 10 kg Pouch",none,126906,490000041,None
"Tata Salt Iodized, 1 kg Pouch",B07575FPC3,241600,490000073,tata-salt
"Fortune Sun Lite - Sunflower Refined Oil, 5 L Can",B075757RF2,274148,590032549,fortune-sunlite-refined-sunflower-oil
"Saffola Tasty Refined Cooking oil | Blended Rice bran & Corn oil | Pro Fitness Conscious, 1 L Pouch",B00N2WT1C6,100554,490000058,None
"Tata Sampann Thick Poha, 500 g",B07V3CM9L8,40178083,491614721,None
Saffola Gold Pro Healthy Lifestyle RiceBran Based Blended Oil 1 L,B00L13WLFW,None,490000057,None
"Real Fruit Power Juice - Mosambi, 1 L",B01GV0P49Y,40083959,491320044,None
Red Label Natural Care Tea 500 g (Carton),B00JAOOMK6,274791,490967439,brooke-bond-red-label-natural-care-tea
Nescafe Classic Instant Coffee 100 g (Jar),B00VK0FTP0,231187,490503478,nescafe-classic-coffee-jar
