2022-02-19 11:23:43.842485
EAN,Name,MRP,Price
1200346,"Kissan Fresh Tomato Ketchup 1 Kg + Mixed Fruit Jam 700 Gm, Combo 2 Items",Rs 372,Rs 323.54
1206706,"Britannia NutriChoice Digestive High Fibre Biscuits, 4x100 g Multipack",Rs 100,Rs 84.44
1213553,"Tasties Namkeen Moong Dal+Namkeen All In One Mixture+Tasty Masala Coated Peanuts (150 g), Combo 3 Items",Rs 147,Rs 100.28
1208946,"Yardley London Morning Dew Deodorant For Women, 2x150 ml (Multipack)",Rs 418,Rs 292.25
1215767,"Kelloggs Corn Flakes With Real Almond & Honey, 2x650 g Multipack",Rs 740,Rs 608
1208792,"Axe Pulse Deodorant, 3x150 ml Multipack",Rs 630,Rs 283.69
1200150,"Chings Hakka Noodles - Veg, 2x150 g Multi Pack",Rs 60,Rs 49.49
1215898,"Tasties Red Chilli Sauce, 200 g + Soya Sauce, 210 g + Vinegar, 175 g, Combo 3 Items",Rs 160,Rs 106.02
1200143,"Britannia Britannia Little Hearts Classic - Sugar Sprinkled, Heart Shaped Biscuits, 6x32 g Multi Pack",Rs 60,Rs 54.15
1213548,"Nivea Deodorant Whitening Sensitive Roll On, 2x50 ml (MultiPack)",Rs 398,Rs 180.28
1214179,"bb Combo BB Royal Organic Cold Pressed Sunflower Oil 1L + Tasties Papad-Moong Masala 200g, Combo 2 Items",Rs 475,Rs 403.28
1212499,"Cadbury Dairy Milk Chocolate Home - Treats Pack, 3x126 g Multipack",Rs 447,Rs 308.77
1213529,"Fogg  Fantastic Extreme, 2x150 ml (MultiPack)",Rs 500,Rs 225
1208793,"Axe Dark Temptation Deodorant, 3x150 ml Multipack",Rs 630,Rs 283.71
1214178,"BB Royal 100% Pure Honey, 1 kg + Corn Flakes Classic, 475 g, Combo 2 Items",Rs 610,Rs 377.91
1214988,"Olay Total Effects 7 in One Night & Day Cream (With SPF) - 50 g Each, Combo (2 Items)",Rs 1798,Rs 1078.80
1202656,"Sunfeast YiPPee! Magic Masala, Instant Noodles, 2x240 g (Pack of 4)",Rs 96,Rs 82.08
1214760,"Tasties Namkeen - Aloo Bhujia, 150 g + Khatta Meetha, 150 g + Moong Dal, 150 g, Combo 3 Items",Rs 147,Rs 100.28
1213522,"Nivea Men Fresh Active Roll On, 2x50 ml (MultiPack)",Rs 398,Rs 205.22
1214838,"Saffola Oodles Ring Noodles - Yummy Masala, No Maida, Ready In 5 Mins, 2x184 g Multipack",Rs 160,Rs 144.40
1214758,"BB Royal 100% Pure Honey, 250 g + Oats, 1 Kg, Combo 2 Items",Rs 305,Rs 224.30
1214732,"Kelloggs Froot Loops - Crunchy Multigrain Cereal, 2x285 g Multipack",Rs 350,Rs 312.50
1206760,"Engage Bodylicious Deodorant Spray - Blush, For Women, 3x150 ml (Multipack)",Rs 630,Rs 345.38
1215899,"Tasties Green Chilli Sauce, 200 g + Soya Sauce, 210 g + Vinegar, 175 g, Combo 3 Items",Rs 160,Rs 106.02
1212422,"Cadbury Dairy Milk Silk Home Treats, 3x162 g Multipack",Rs 600,Rs 435.60
1215900,"Tasties Green Chilli Sauce, 200g+Red Chilli Sauce, 200g+Soya Sauce, 210g+Vinegar, 175g, Combo 4 Items",Rs 215,Rs 137.70
1200162,"Britannia Biscuits - Milk Bikis Milk Sandwich, 3x100 g Multi Pack",Rs 75,Rs 67.69
1214177,"BB Royal 100% Pure Honey, 1 kg + Oats, 1 kg, Combo 2 Items",Rs 625,Rs 394.47
1202648,"Sunfeast Moms Magic - Cashew & Almond, 3x58 g",Rs 30,Rs 27.07
1215380,"Nivea Roll On Deodorant- Whitening Sensitive + Whitening Smooth Skin Women (50ml each), Combo 2 Items",Rs 398,Rs 209.66
1208983,"Dabur Hommade - Coconut Milk, 2x200 ml Multipack",Rs 150,Rs 130.65
1213555,"Tasties Moong Dal, 30 g+All in One Mixture, 40 g+Tasty Peanuts, 50 g, Combo 3 Items",Rs 36,Rs 32.57
1215895,"Cadbury Perk - Chocolate, Home Treats, 3x175.5 g Multipack",Rs 297,Rs 189.73
1213527,"Fogg  Fantastic Absolute, 2x150 ml (MultiPack)",Rs 500,Rs 225
1212033,"Chings Chutney - Schezwan, 3x250 g Multipack",Rs 240,Rs 189.07
1213554,"Tasties Bikaneri Bhujia Sev, 40 g+Aloo Bhujia, 60 g+Khatta Meetha, 60 g, Combo 3 Items",Rs 36,Rs 33.12
1203906,"Britannia Bourbon Chocolate Cream Biscuits, 6x60 g Multipack",Rs 60,Rs 54.15
1209606,"Engage Bodylicious Deodorant Spray - Blush + Spell + Tease (For Women 150 ml), Combo (3 Items)",Rs 600,Rs 400.06
1213544,"Layerr Wottagirl! Perfume Spray - Mystic Island, 2x135 ml (MultiPack)",Rs 398,Rs 216.33
1203265,"Cadbury Bournville Rich Cocoa Dark Chocolate Bar, 3x80 g Multipack",Rs 300,Rs 234.37
1202657,"Sunfeast YiPPee! Mood Masala, Instant Noodles, 2x260 g (Pack of 4)",Rs 116,Rs 85.52
1202655,"Sunfeast Nice - Sugar Sprinkled Biscuits, 3x150 g (Multipack)",Rs 75,Rs 67.69
1206761,"Engage Bodylicious Deodorant Spray For Women - Spell, 3x150 ml (MultiPack)",Rs 585,Rs 299.19
1203908,"Britannia Good Day Cashew Cookies, 6x60 g Multipack",Rs 60,Rs 54.15
1214735,"Spice Story Pizza Sauce, 250 g + Alfredo Pasta Sauce, 250 g, Combo 2 Items",Rs 450,Rs 382.50
1213955,"Sunfeast Bounce Biscuits - Orange Creme Cookies, 3x38 g Multipack",Rs 15,Rs 14.11
1213530,"Fogg  Fragrance Body Spray - Dynamic, 2x150 ml (MultiPack)",Rs 500,Rs 225.02
1213839,"Brut Deodorant For Men - Long Lasting, Original Fragrance, 2x200 ml (Multipack)",Rs 598,Rs 493.10
1212423,"Cadbury 5 Star Chocolate Home Pack (20 Units), 3x200 g Multipack",Rs 447,Rs 288.01
1213841,"Brut Deodorant For Men - Long Lasting, Musk Fragrance, 2x200 ml (Multipack)",Rs 598,Rs 448.50
1203910,"Britannia Biscuits - Marie Gold, 6x78 g Multipack",Rs 60,Rs 54.15
1209962,"Fogg  Fragrance Body Spray - Marco, 2x150 ml Multipack",Rs 500,Rs 263.06
1208883,"Axe Gold Temptation Deodorant, 3x150 ml (Multipack)",Rs 630,Rs 346.50
1200144,"Britannia 50-50 Maska Chaska Salted Biscuits, 6x50 g Multipack",Rs 60,Rs 51.81
1209963,"Fogg  Fragrance Body Spray - Paradise, 2x150 ml Multipack",Rs 500,Rs 284.38
1200160,"Britannia Marie Gold Biscuits, 6x120 g Multipack",Rs 108,Rs 97.47
1202887,"Hersheys  Spread - Cocoa with Almond, 2x300 g Multipack",Rs 590,Rs 520.38
1213540,"Engage XX3 Cologne - for Men, 2x135 ml (MultiPack)",Rs 500,Rs 207.68
1204274,"Sunfeast Sunfeast Yippee Magic Masala Noodles,, 10X60 g (Pack of 10)",Rs 120,Rs 102.60
1200159,"Britannia Treat - Jim Jam Biscuits, 3x100 g Multipack",Rs 75,Rs 64.81
1200149,"Britannia Bourbon - The Original Biscuits, 3x100 g Multi Pack",Rs 60,Rs 54.15
1215201,"Spice Story Arrabiata Pasta Sauce, 2x250 g Multipack",Rs 300,Rs 255
1203922,"Britannia Good Day - Nuts Cookie, 6x45 g Multipack",Rs 60,Rs 54.15
1212480,"Eva Skin Friendly Deodorant - Sweet, 2x150 ml Multipack",Rs 380,Rs 266.01
1213840,"Brut Deodorant For Men - Long Lasting, Oceans Fragrance, 2x200 ml (Multipack)",Rs 598,Rs 448.50
1206704,"Britannia Biscuits - Milk Bikis, 2x150 g Multipack",Rs 56,Rs 50.54
1215128,"Keya Elbow Pasta, 2x400 g Multipack",Rs 280,Rs 140
1204055,"Sunfeast Glucose Biscuits, 5x120 g Multipack",Rs 50,Rs 45.12
1212478,"Eva Skin Friendly Deodorant - Doll, 2x150 ml Multipack",Rs 380,Rs 265.99
1208984,"Dabur Hommade - Tomato Puree, 2x200 g Multipack",Rs 50,Rs 45.53
1213947,"Sunfeast Bounce Biscuits - Orange Creme Cookies, 3x78 g Multipack",Rs 30,Rs 27.93
1214943,"ChefBoss Creamy Pasta Sauce, 2x200 g Multipack",Rs 180,Rs 162.45
1203915,"Britannia Nice Time - Sugar Showered Coconut Biscuits, 6x66 g Multipack",Rs 60,Rs 54.15
1204443,"Chings Sauce - Dark Soy 200G+Green Chilly 190G+Red Chilli 200G+Hakka Noodles Veg 150Gx2, Combo 4 Items",Rs 225,Rs 180.75
1213946,"Sunfeast Bounce Biscuits - Elaichi Creme Cookies, 3x76 gm Multipack",Rs 30,Rs 29.40
1213537,"Axe Signature Intense Long Lasting No Gas Body Deodorant - For Men, 2x154 ml (MultiPack)",Rs 530,Rs 310.28
1202660,"Sunfeast YiPPee! Tricolor Instant Pasta, Masala, 2x65 g Multipack",Rs 56,Rs 41.16
1213581,"Nivea Fresh Active Men Deodorant - 48h Long lasting Freshness, 2x150 ml (Multipack)",Rs 450,Rs 240.49
1207255,"Britannia Little Hearts Classic - Sugar Sprinkled, Heart Shaped Biscuits, 10x15.5 g Multipack",Rs 50,Rs 44.17
1213590,"Wild Stone Body Deodorant - Red, 2x150 ml (Multipack)",Rs 398,Rs 224.48
1203982,"Britannia Good Day Cookies - Chocochip, 6x44 g Multipack",Rs 60,Rs 54.15
1214942,"ChefBoss Pasta & Pizza Sauce, 2x300 g (Multipack)",Rs 180,Rs 162.45
1213546,"Engage XX2 Cologne Spray, 2x135 ml (MultiPack)",Rs 500,Rs 195.38
1203269,"Cadbury Bournville Cranberry Dark Chocolate Bar, 3x80 g Multipack",Rs 300,Rs 209.55
1212040,"Chings Hakka Noodles - Egg, 3x150 g Multipack",Rs 96,Rs 85.67
1213538,"Axe Provoke Long Lasting Deodorant Body Spray - For Men, 2x150 ml (MultiPack)",Rs 420,Rs 273
1214924,"Knorr Instant Sweet Corn Cup-A-Soup, 10x10 g Multipack",Rs 100,Rs 86
1215896,"Cadbury Dairy Milk Silk Oreo, 3x130 g Multipack",Rs 525,Rs 488.88
1213586,"Nivea Pearl & Beauty Women Deodorant - Beautiful Underarms & 48h Protection, 2x150 ml (Multipack)",Rs 450,Rs 217.74
1215870,"Center Fresh Mint - Sugarfree, Peppermint Flavour, 3x15 pcs Multipack",None,Rs 30
1213526,"Engage XX1 Cologne - For Men, 2x135 ml (MultiPack)",Rs 500,Rs 211.53
1202661,"Sunfeast YiPPee! Tricolor Instant Pasta, Creamy Corn, 2x65 g",Rs 56,Rs 45.22
1203267,"Cadbury Bournville Fruit & Nut Dark Chocolate, 3x80 g Multipack",Rs 300,Rs 256.62
1213541,"Axe Signature Corporate No Gas Body Deodorant - For Men, 2x154 ml (MultiPack)",Rs 530,Rs 291.93
1213589,"Wild Stone Deodorant Body Spary - Stone, 2x120 ml (Multipack)",Rs 450,Rs 304
1200218,"MAGGI  Noodles - Masala 280 gm + Ketchup Tomato 1 kg, Combo 2 Items",Rs 194,Rs 167.41
1212754,"Cadbury Dairy Milk Silk Mousse - Chocolate Bar, 3 x 50 g Multipack",Rs 240,Rs 223.44
1208610,"Set Wet Global Edition Perfume Spray For Men - Las Vegas Live, 2x120 ml (Multipack)",Rs 500,Rs 250
1202885,"Hersheys  Spread - Cocoa, 2x300 g Multipack",Rs 590,Rs 520.38
1213591,"Wild Stone Deodorant Body Spary - Bronze, 2x120 ml (Multipack)",Rs 450,Rs 360
1213749,"ChefBoss Honey Chilli Stir Fry Sauce & Dip, 2x175 g Multipack",Rs 150,Rs 135.38
1214946,"Cadbury Dairy Milk Family Pack - Chocolate Bar, 2X130 g Multipack",Rs 200,Rs 184.30
1215893,"Cadbury Bournville - Rich Cocoa, 70% Dark Chocolate Bar, 3x80 g Multipack",Rs 300,Rs 256.62
1212830,"Yardley London English Lavender Deodorant For Women, 2x150 ml (Multipack)",Rs 418,Rs 290.50
1215897,"Cadbury Dairy Milk Silk Mousse - Chocolate Bar, 3x116 g Multipack",Rs 525,Rs 488.88
1212832,"Yardley London Gold Deodorant For Men, 2x150 ml (Multipack)",Rs 418,Rs 292.25
1208947,"Yardley London Gentleman Classic Deodorant For Men, 2x150 ml (Multipack)",Rs 418,Rs 285.25
1202129,"Cadbury Dairy Milk Silk Oreo, 3x60 g (Multipack)",Rs 240,Rs 228.14
1204443,"Chings Sauce - Dark Soy 200G+Green Chilly 190G+Red Chilli 200G+Hakka Noodles Veg 150Gx2, Combo 4 Items",Rs 225,Rs 180.75
1203915,"Britannia Nice Time - Sugar Showered Coconut Biscuits, 6x66 g Multipack",Rs 60,Rs 54.15
1213537,"Axe Signature Intense Long Lasting No Gas Body Deodorant - For Men, 2x154 ml (MultiPack)",Rs 530,Rs 310.28
1213946,"Sunfeast Bounce Biscuits - Elaichi Creme Cookies, 3x76 gm Multipack",Rs 30,Rs 29.40
1207255,"Britannia Little Hearts Classic - Sugar Sprinkled, Heart Shaped Biscuits, 10x15.5 g Multipack",Rs 50,Rs 44.17
1213581,"Nivea Fresh Active Men Deodorant - 48h Long lasting Freshness, 2x150 ml (Multipack)",Rs 450,Rs 240.49
