2022-02-19 11:53:25.462776
EAN,Name,MRP,Price
150502,"Fresho Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free, 30 pcs",Rs 210,Rs 199.50
10000150,"Fresho Onion, 5 kg",Rs 243.75,Rs 195
40096746,"Hallimane 2-In-1 Idli Dosa Batter, 1 Kg",Rs 70,Rs 66.50
263754,"Harpic Disinfectant Toilet Cleaner Liquid, Original, 500 ml",Rs 93,Rs 86.86
161826,"Aashirvaad Atta/Godihittu - Whole Wheat, 2 kg Pouch",Rs 109,Rs 103.55
10000203,"Fresho Tomato - Local, 1 kg",Rs 15,Rs 10.10
281204,"Fresho Farm Eggs - Regular, Medium, Antibiotic Residue-Free, 6 pcs",Rs 50,Rs 47.47
137575,"Milky Mist Paneer - Premium Fresh, 1 kg Pouch",Rs 445,Rs 422.75
40129678,"Pampers  Diaper Pants - Extra Large, 112 pcs",Rs 2199,Rs 1533
274791,"Red Label Tea - Natural Care, 500 g",Rs 325,Rs 308.75
253537,"Dettol Antiseptic Disinfectant Liquid, 125 ml",Rs 60.50,Rs 57.47
266575,"Red Label Tea, 250 g Carton",Rs 145,Rs 137
40048897,"Fresho Chicken - Curry Cut Without Skin, Antibiotic Residue-Free, 500 g",Rs 220,Rs 169
40006250,"BORGES Extra Virgin Olive Oil, 1 L Pet Bottle",Rs 1400,Rs 700
240100,"Duracell Ultra Alkaline Battery AA, 4 pcs",Rs 170,Rs 154
106417,"Eveready Carbon Zinc Battery Red HD AA 1015, 10 pcs",Rs 150,Rs 135
10000200,"Fresho Tomato - Hybrid, 1 kg",Rs 20.20,Rs 16.16
10000457,"BB Royal Rice/Akki - Raw, Sona Masoori, 1 kg (12 - 17 Months Old)",Rs 70,Rs 54
10000071,"Fresho Carrot - Orange, 250 g",Rs 28.13,Rs 22.50
10000144,"Fresho Ladies Finger, 500 g",Rs 30,Rs 24
273623,"Duracell Ultra-Alkaline Battery AAA, 4 pcs",Rs 170,Rs 153
137936,"Taj Mahal Tea, 1 Kg Carton",Rs 770,Rs 694
256652,"Pedigree Dry Dog Food - Chicken & Vegetables, For Adult Dogs, 1.2 kg",Rs 280,Rs 266
40200082,"Tata Tea Gold Tea, 1.5 Kg",Rs 885,Rs 814.20
242671,"Nandini Goodlife - Toned Milk, 500 ml Pouch",Rs 26,Rs 23.60
40046546,"Epigamia  Greek Yogurt - Natural, 90 g Cup",Rs 50,Rs 47.47
10000074,"Fresho Cauliflower, 1 pc (approx. 400 to 600 g)",Rs 25,Rs 18.18
40173274,"Surf Excel Matic Liquid Front Load Sachet, 60 ml",Rs 10,Rs 9.50
40057966,"Fresho Tender Coconut - Medium, 1 pc",Rs 38.75,Rs 30.30
10000283,"Fresho Green Peas, 500 g",Rs 42.50,Rs 34
40075897,"BB Royal Sona Masoori Rice/Akki Raw Rice/Akki - Super Premium, 10 kg (12 + Months Old)",Rs 750,Rs 499
266706,"Dove Cream Beauty Bathing Bar, 125 g (Pack of 3)",Rs 245,Rs 189.54
