2022-02-16 10:37:36.276145
Name,MRP,Price,Pincode
Aashirvaad Multigrain Atta (Godihittu): 1 kg, 67(Inclusive of all taxes), 61,560095
Daawat Rozana Super Basmati Rice (Akki): 5 kgs, 425(Inclusive of all taxes), 318,560095
Sunfeast Dark Fantasy Choco Fills Cookies: 75 gms, 35(Inclusive of all taxes), 28,560095
Kellogg's Muesli Nuts Delight: 500 gms, 320(Inclusive of all taxes), 280,560095
Kissan Fresh Tomato Ketchup: 950 gms, 120(Inclusive of all taxes), 105,560095
Cadbury Bournvita Health Drink Refill: 500 gms, 209(Inclusive of all taxes), 199,560095
Lux Soft Glow Rose & Vitamin E Beauty Soap: 3X150 gms, 165(Inclusive of all taxes), 119,560095
Santoor Sandal & Turmeric Soap: 4x75 gms, 96(Inclusive of all taxes), 80,560095
Colgate Swarna Vedshakti Toothpaste: 200 gms, 105(Inclusive of all taxes), 98,560095
Britannia NutriChoice Digestive Hi-Fibre Biscuits: 1 kg, 199(Inclusive of all taxes), 145,560095
Parle-G Original Gluco Biscuits: 100 gms, 10(Inclusive of all taxes), 9,560095
Parle Monaco Classic Regular Biscuit: 700 gms, 120(Inclusive of all taxes), 90,560095
Parle Hide & Seek Chocolate Chip Cookies: 350 gms, 120(Inclusive of all taxes), 95,560095
Haldiram's Bhujia Sev: 350 gms, 99(Inclusive of all taxes), 79,560095
Tata Salt - Evaporated Iodised: 1 kg, 24(Inclusive of all taxes), 21,560095
Fortune Sunlite Refined Sunflower Oil: 1 Litre, 150(Inclusive of all taxes), 137,560095
Brooke Bond Red Label Natural Care Tea: 1 kg, 650(Inclusive of all taxes), 569,560095
Nescafé Classic Coffee Jar: 100 gms, 310(Inclusive of all taxes), 280,560095
Aashirvaad Multigrain Atta (Gondhuma Pindi): 1 kg, 67(Inclusive of all taxes), 58,500010
Daawat Rozana Super Basmati Rice (Biyyam): 5 kgs, 425(Inclusive of all taxes), 318,500010
Sunfeast Dark Fantasy Choco Fills Cookies: 75 gms, 35(Inclusive of all taxes), 30,500010
Kellogg's Muesli Nuts Delight: 750 gms, 415(Inclusive of all taxes), 310,500010
Gowardhan Pure Cow Ghee Pouch (Neyyi): 1 Litre, 579(Inclusive of all taxes), 505,500010
Kissan Fresh Tomato Ketchup: 950 gms, 120(Inclusive of all taxes), 95,500010
Cadbury Bournvita Health Drink Refill: 500 gms, 209(Inclusive of all taxes), 187,500010
Santoor Sandal & Turmeric Soap: 4x75 gms, 96(Inclusive of all taxes), 89,500010
Colgate Swarna Vedshakti Toothpaste: 200 gms, 102(Inclusive of all taxes), 95,500010
Britannia NutriChoice Digestive Hi-Fibre Biscuits: 1 kg, 199(Inclusive of all taxes), 141,500010
Parle-G Original Gluco Biscuits: 100 gms, 10(Inclusive of all taxes), 9,500010
Parle Monaco Classic Regular Biscuit: 700 gms, 120(Inclusive of all taxes), 85,500010
Parle Hide & Seek Chocolate Chip Cookies: 350 gms, 120(Inclusive of all taxes), 88,500010
Haldiram's Bhujia Sev: 150 gms, 50(Inclusive of all taxes), 44,500010
Tata Salt - Evaporated Iodised: 1 kg, 24(Inclusive of all taxes), 20,500010
Fortune Sunlite Refined Sunflower Oil: 1 Litre, 150(Inclusive of all taxes), 136,500010
Brooke Bond Red Label Natural Care Tea: 1 kg, 650(Inclusive of all taxes), 545,500010
Nescafé Classic Coffee Jar: 50 gms, 160(Inclusive of all taxes), 153,500010
Aashirvaad Multigrain Atta (Ghau no Lot): 5 kgs, 315(Inclusive of all taxes), 260,380009
Daawat Rozana Super Basmati Rice (Chokha): 5 kgs, 425(Inclusive of all taxes), 325,380009
Sunfeast Dark Fantasy Choco Fills Cookies: 75 gms, 35(Inclusive of all taxes), 29,380009
Kellogg's Muesli Nuts Delight: 500 gms, 320(Inclusive of all taxes), 290,380009
Gowardhan Pure Cow Ghee Pouch: 2x1 Litre," 1,158(Inclusive of all taxes)", 995,380009
Kissan Tomato Ketchup: 1.2 kgs, 160(Inclusive of all taxes), 109,380009
Wagh Bakri Navchetan Tea: 1 kg, 272(Inclusive of all taxes), 210,380009
Cadbury Bournvita Health Drink Refill: 500 gms, 209(Inclusive of all taxes), 188,380009
Lux Soft Glow Rose & Vitamin E Beauty Soap: 3X150 gms, 165(Inclusive of all taxes), 130,380009
Santoor Sandal & Turmeric Soap: 4x75 gms, 96(Inclusive of all taxes), 82,380009
Colgate Swarna Vedshakti Toothpaste: 200 gms, 105(Inclusive of all taxes), 97,380009
Britannia NutriChoice Digestive Hi-Fibre Biscuits: 1 kg, 199(Inclusive of all taxes), 155,380009
Parle-G Original Gluco Biscuits: 50 gms, 5(Inclusive of all taxes), 5,380009
Parle Monaco Classic Regular Biscuit: 700 gms, 120(Inclusive of all taxes), 95,380009
Parle Hide & Seek Chocolate Chip Cookies: 350 gms, 120(Inclusive of all taxes), 100,380009
Haldiram's Bhujia Sev: 350 gms, 99(Inclusive of all taxes), 79,380009
Tata Salt - Evaporated Iodised: 1 kg, 24(Inclusive of all taxes), 22,380009
Fortune Sunlite Refined Sunflower Oil: 1 Litre, 180(Inclusive of all taxes), 154,380009
Brooke Bond Red Label Natural Care Tea: 1 kg, 590(Inclusive of all taxes), 520,380009
Nescafé Classic Coffee Jar: 50 gms, 165(Inclusive of all taxes), 145,380009
Aashirvaad Multigrain Atta: 5 kgs, 315(Inclusive of all taxes), 259,411030
Daawat Rozana Super Basmati Rice: 5 kgs, 425(Inclusive of all taxes), 324,411030
Sunfeast Dark Fantasy Choco Fills Cookies: 75 gms, 35(Inclusive of all taxes), 29,411030
Kellogg's Muesli Nuts Delight: 750 gms, 425(Inclusive of all taxes), 350,411030
Gowardhan Pure Cow Ghee Pouch: 2x1 Litre," 1,158(Inclusive of all taxes)", 995,411030
Kissan Tomato Ketchup: 1.2 kgs, 160(Inclusive of all taxes), 120,411030
Cadbury Bournvita Health Drink Refill: 500 gms, 209(Inclusive of all taxes), 192,411030
Lux Soft Glow Rose & Vitamin E Beauty Soap: 3X150 gms, 165(Inclusive of all taxes), 128,411030
Santoor Sandal & Turmeric Soap: 4x75 gms, 96(Inclusive of all taxes), 86,411030
Colgate Swarna Vedshakti Toothpaste: 200 gms, 105(Inclusive of all taxes), 95,411030
Britannia NutriChoice Digestive Hi-Fibre Biscuits: 1 kg, 199(Inclusive of all taxes), 165,411030
Parle-G Original Gluco Biscuits: 50 gms, 5(Inclusive of all taxes), 5,411030
Parle Monaco Classic Regular Biscuit: 700 gms, 120(Inclusive of all taxes), 90,411030
