2022-02-19 12:20:18.328796
JIO,Name,MRP,Price,Link
['490052703'],Nivea Fresh Natural Deodorant for Women 150 ml,  225.00,  112.50,https://www.jiomart.com/p/groceries/nivea-fresh-natural-deodorant-for-women-150-ml/490052703
['491055460'],Colgate Strong Teeth Dental Cream Toothpaste 500 g Saver Pack,  244.00,  182.00,https://www.jiomart.com/p/groceries/colgate-strong-teeth-dental-cream-toothpaste-200-g-pack-of-2/491055460
['590324027'],Kesh King Ayurvedic Onion Anti-Hairfall Hair Growth Oil 100 ml,  300.00,  150.00,https://www.jiomart.com/p/groceries/kesh-king-ayurvedic-onion-anti-hairfall-hair-growth-oil-100-ml/590324027
['491504124'],Super Sarvottam Physically Refined 100% Rice Bran Oil 1 L,  178.00,  129.00,https://www.jiomart.com/p/groceries/super-sarvottam-rice-bran-oil-1-l-pouch/491504124
['491439053'],Nivea Milk Delights Caring Rosewater Face Wash for Sensitive Skin 100 ml,  185.00,  138.75,https://www.jiomart.com/p/groceries/nivea-milk-delights-caring-rosewater-face-wash-for-sensitive-skin-100-ml/491439053
['490003834'],Maggi 2-Minute Masala Instant Noodles 560 g,  96.00,  81.00,https://www.jiomart.com/p/groceries/maggi-2-minute-masala-instant-noodles-560-g/490003834
['491600002'],Cycle Om Shanti Chandanam Pooja Oil 1 L,  235.00,  179.00,https://www.jiomart.com/p/groceries/cycle-om-shanti-chandanam-pooja-oil-1-l/491600002
['490503479'],Kissan Fresh Tomato Ketchup 950 g,  120.00,  99.00,https://www.jiomart.com/p/groceries/kissan-fresh-tomato-ketchup-950-g/490503479
['491441281'],Surf Excel Matic Front Load Detergent Powder 4 kg (Get Extra 2 kg Free),  1240.00,  965.00,https://www.jiomart.com/p/groceries/surf-excel-matic-front-load-detergent-powder-4-kg/491441281
['491186625'],Good Life Almonds 500 g,  649.00,  334.00,https://www.jiomart.com/p/groceries/good-life-almonds-500-g/491186625
['491417390'],Tur / Arhar Dal 2 kg,  270.00,  196.00,https://www.jiomart.com/p/groceries/tur-arhar-dal-2-kg/491417390
['491441280'],Surf Excel Matic Top Load Detergent Powder 4 kg (Get Extra 2 kg Free),  1120.00,  855.00,https://www.jiomart.com/p/groceries/surf-excel-matic-top-load-detergent-powder-4-kg/491441280
['491085658'],Pears Pure & Gentle Soap with Natural Oils 125 g (Buy 4 Get 1 Free),  304.00,  248.00,https://www.jiomart.com/p/groceries/pears-pure-gentle-soap-125-g-buy-4-get-1-free/491085658
['490001392'],Amul Butter 500 g (Carton),  245.00,  235.00,https://www.jiomart.com/p/groceries/amul-pasteurised-butter-500-g/490001392
['491319789'],Sunfeast Dark Fantasy Original Choco Filled Cookie 12.5 g (Pack of 24),  150.00,  93.00,https://www.jiomart.com/p/groceries/sunfeast-dark-fantasy-choco-fill-cookies-300-g/491319789
['490010244'],Gowardhan Pure Cow Ghee 1 L (Pouch),  579.00,  499.00,https://www.jiomart.com/p/groceries/gowardhan-pure-cow-ghee-1-l-pouch/490010244
['490337869'],Pears Pure & Gentle Soap with Glycerin & Natural Oils 125 g (Pack of 3),  204.00,  157.00,https://www.jiomart.com/p/groceries/pears-pure-gentle-soap-with-natural-oils-125-g-pack-of-3/490337869
['491335765'],Ariel Matic Top Load Detergent Powder 4 kg (Get Extra 2 kg Free),  1150.00,  855.00,https://www.jiomart.com/p/groceries/ariel-matic-top-load-detergent-powder-4-kg/491335765
['490000041'],Aashirvaad Whole Wheat Atta 10 kg,  460.00,  388.00,https://www.jiomart.com/p/groceries/aashirvaad-whole-wheat-atta-10-kg/490000041
['491373488'],Britannia NutriChoice Hi-Fibre Digestive Biscuits 1 kg,  199.00,  144.00,https://www.jiomart.com/p/groceries/britannia-nutrichoice-hi-fibre-digestive-biscuits-1-kg/491373488
['491470499'],Taina Eco-friendly Roll (Pack of 4),  135.00,  68.00,https://www.jiomart.com/p/groceries/taina-2-ply-toilet-rolls-190-sheets-pack-of-4/491470499
['490010164'],Amul Pure Ghee 1 L (Pouch),  485.00,  460.00,https://www.jiomart.com/p/groceries/amul-pure-ghee-1-l-pouch/490010164
