2022-02-16 10:50:15.099153
JIO,Name,MRP,Price,Pincode
490675817,Aashirvaad Multigrain Atta 5 kg,None,None,560095
491019524,Daawat Rozana Super Basmati Rice 5 kg,None,None,560095
491319789,Sunfeast Dark Fantasy Original Choco Filled Cookie 12.5 g (Pack of 24),  150.00,  99.00,560095
491409954,Kellogg's Nuts Delight Muesli 750 g,None,None,560095
491321729,Raw Pressery Orange Juice 1 l,None,None,560095
490010244,Gowardhan Pure Cow Ghee 1 L (Pouch),None,None,560095
491187481,Bournvita 750 g,  310.00,  264.00,560095
490915877,Lux Rose & Vitamin E Soft Glowing Skin Soap Bar 150 g (Pack of 3),  165.00,  132.00,560095
490002255,Santoor Sandal & Turmeric Soap 125 g (Pack of 4),None,None,560095
491161296,Britannia Good Day Cashew Cookies 100 g,  20.00,  17.00,560095
490007701,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g,None,None,560095
490008739,Parle-G Original Glucose Biscuits 800 g,  80.00,  72.00,560095
491439006,Parle Monaco Classic Regular Salted Biscuits 400 g,  60.00,  54.00,560095
491338173,Parle Platina Hide & Seek Chocolate Chip Cookies 350 g,None,None,560095
490009551,Haldiram's Nagpur Bhujia Sev 1 kg,None,None,560095
490000041,Aashirvaad Whole Wheat Atta 10 kg,None,None,560095
490000073,Tata Iodised Salt 1 kg,None,None,560095
590032549,Fortune Sunlite Refined Sunflower Oil 5 L + Fortune Everyday Basmati Rice 5 kg (Combo Pack),None,None,560095
490000058,Saffola Tasty Pro Fitness Concious Corn Based Blended Oil 1 L,  185.00,  169.00,560095
491614721,Tata Sampann White Poha 500 g,None,None,560095
490000057,Saffola Gold Pro Healthy Lifestyle RiceBran Based Blended Oil 1 L,None,None,560095
491320044,Real Fruit Power Mosambi Juice 1 L,None,None,560095
490967439,Red Label Natural Care Tea 500 g (Carton),None,None,560095
490503478,Nescafe Classic Instant Coffee 100 g (Jar),None,None,560095
490675817,Aashirvaad Multigrain Atta 5 kg,  325.00,  265.00,500010
491019524,Daawat Rozana Super Basmati Rice 5 kg,None,None,500010
491319789,Sunfeast Dark Fantasy Original Choco Filled Cookie 12.5 g (Pack of 24),  150.00,  99.00,500010
491409954,Kellogg's Nuts Delight Muesli 750 g,None,None,500010
491321729,Raw Pressery Orange Juice 1 l,None,None,500010
490010244,Gowardhan Pure Cow Ghee 1 L (Pouch),None,None,500010
491187481,Bournvita 750 g,None,None,500010
490915877,Lux Rose & Vitamin E Soft Glowing Skin Soap Bar 150 g (Pack of 3),  165.00,  132.00,500010
490002255,Santoor Sandal & Turmeric Soap 125 g (Pack of 4),  180.00,  145.00,500010
491161296,Britannia Good Day Cashew Cookies 100 g,  20.00,  17.00,500010
490007701,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g,  25.00,  22.00,500010
490008739,Parle-G Original Glucose Biscuits 800 g,  80.00,  72.00,500010
491439006,Parle Monaco Classic Regular Salted Biscuits 400 g,  60.00,  54.00,500010
491338173,Parle Platina Hide & Seek Chocolate Chip Cookies 350 g,None,None,500010
490009551,Haldiram's Nagpur Bhujia Sev 1 kg,None,None,500010
490000041,Aashirvaad Whole Wheat Atta 10 kg,  499.00,  414.00,500010
490000073,Tata Iodised Salt 1 kg,  24.00,  22.00,500010
590032549,Fortune Sunlite Refined Sunflower Oil 5 L + Fortune Everyday Basmati Rice 5 kg (Combo Pack),None,None,500010
490000058,Saffola Tasty Pro Fitness Concious Corn Based Blended Oil 1 L,  185.00,  169.00,500010
491614721,Tata Sampann White Poha 500 g,  44.00,  41.00,500010
490000057,Saffola Gold Pro Healthy Lifestyle RiceBran Based Blended Oil 1 L,  205.00,  189.00,500010
491320044,Real Fruit Power Mosambi Juice 1 L,None,None,500010
490967439,Red Label Natural Care Tea 500 g (Carton),  325.00,  308.75,500010
490503478,Nescafe Classic Instant Coffee 100 g (Jar),None,None,500010
490675817,Aashirvaad Multigrain Atta 5 kg,  305.00,  265.00,700015
491019524,Daawat Rozana Super Basmati Rice 5 kg,None,None,700015
491319789,Sunfeast Dark Fantasy Original Choco Filled Cookie 12.5 g (Pack of 24),  150.00,  99.00,700015
491409954,Kellogg's Nuts Delight Muesli 750 g,  425.00,  385.00,700015
491321729,Raw Pressery Orange Juice 1 l,None,None,700015
490010244,Gowardhan Pure Cow Ghee 1 L (Pouch),None,None,700015
491187481,Bournvita 750 g,  310.00,  270.00,700015
490915877,Lux Rose & Vitamin E Soft Glowing Skin Soap Bar 150 g (Pack of 3),  165.00,  132.00,700015
490002255,Santoor Sandal & Turmeric Soap 125 g (Pack of 4),  180.00,  145.00,700015
491161296,Britannia Good Day Cashew Cookies 100 g,  20.00,  17.00,700015
490007701,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g,  25.00,  22.00,700015
490008739,Parle-G Original Glucose Biscuits 800 g,None,None,700015
491439006,Parle Monaco Classic Regular Salted Biscuits 400 g,  60.00,  54.00,700015
491338173,Parle Platina Hide & Seek Chocolate Chip Cookies 350 g,None,None,700015
490009551,Haldiram's Nagpur Bhujia Sev 1 kg,None,None,700015
490000041,Aashirvaad Whole Wheat Atta 10 kg,  415.00,  365.00,700015
490000073,Tata Iodised Salt 1 kg,  24.00,  22.00,700015
590032549,Fortune Sunlite Refined Sunflower Oil 5 L + Fortune Everyday Basmati Rice 5 kg (Combo Pack),None,None,700015
490000058,Saffola Tasty Pro Fitness Concious Corn Based Blended Oil 1 L,  200.00,  185.00,700015
491614721,Tata Sampann White Poha 500 g,  44.00,  41.00,700015
490000057,Saffola Gold Pro Healthy Lifestyle RiceBran Based Blended Oil 1 L,  205.00,  189.00,700015
